id,provider,category,name,priceMonthly,singleLinePrice,realMonthlyCost,firstYearCost,effectiveMonthly,priceAfterPromo,promoMonths,dataGB,speed,infrastructure,requiresLines,monthlyExtras
hm-data20,הוט מובייל,cellular,דאטה בלבד 20GB,10.9,10.9,10.9,130.8,10.9,,,20GB,,,,0
hm-data150,הוט מובייל,cellular,דאטה בלבד 150GB,21.9,21.9,21.9,262.8,21.9,,,150GB,,,,0
hm-top250,הוט מובייל,cellular,TOP 250GB,29.9,29.9,29.9,358.8,29.9,,,250GB,,,2,0
hm-kosher5000,הוט מובייל,cellular,כשר 5000 דקות,26,26,26,312,26,,,ללא גלישה,,,,0
hm-fam300,הוט מובייל,cellular,5G FAMILY 300GB,35,39.9,39.9,478.8,39.9,,,300GB,,,2,0
hm-basicfam400,הוט מובייל,cellular,5G Basic Family 400GB,37,45.9,45.9,550.8,45.9,,,400GB,,,3,0
hm-gen400,הוט מובייל,cellular,5G GEN 400GB,39.9,39.9,39.9,478.8,39.9,,,400GB,,,,0
hm-kosher10000,הוט מובייל,cellular,כשר 10000 דקות,39,39,39,468,39,,,ללא גלישה,,,,0
hm-gen750,הוט מובייל,cellular,5G GEN 750GB,45.9,45.9,45.9,550.8,45.9,,,750GB,,,,0
hm-gen1500,הוט מובייל,cellular,5G GEN 1500GB,54.9,54.9,54.9,658.8,54.9,,,1500GB,,,,0
hm-extra2000,הוט מובייל,cellular,5G EXTRA 2000GB,59.9,59.9,59.9,718.8,59.9,,,2000GB,,,,0
hm-ultra2500,הוט מובייל,cellular,5G ULTRA 2500GB,69.9,69.9,69.9,838.8,69.9,,,2500GB,,,,0
hm-ultra3000,הוט מובייל,cellular,5G ULTRA Premium 3000GB,79.9,79.9,79.9,958.8,79.9,,,3000GB,,,,0
hm-fly,הוט מובייל,cellular,5G ULTRA FLY 3000GB,109.9,109.9,109.9,1318.8,109.9,,,3000GB,,,,0
hm-topfam1200,הוט מובייל,cellular,TOP Family 1200GB,30,30,30,360,30,,,1200GB,,,3,0
pele-xl300,פלאפון,cellular,300GB XL משפחתי,29.9,29.9,29.9,358.8,29.9,,,300GB,,,2,0
pele-2000disney,פלאפון,cellular,5G 2000GB + Disney+,74.9,74.9,74.9,998.8,83.23,84.9,2,2000GB,,,,0
pele-data1000,פלאפון,cellular,Data SIM 1000GB,59.9,59.9,59.9,718.8,59.9,,,1000GB,,,,0
pele-value400,פלאפון,cellular,Value 400GB,39.9,39.9,39.9,478.8,39.9,,,400GB,,,,0
pele-route1000,פלאפון,cellular,5G Route 1000GB,39.9,39.9,39.9,578.8,48.23,49.9,2,1000GB,,,,0
pele-vip2000,פלאפון,cellular,5G Max VIP 2000GB,49.9,49.9,49.9,748.8,62.4,64.9,2,2000GB,,,,0
pele-social4000,פלאפון,cellular,5G Max Social 4000GB,49.9,49.9,49.9,798.8,66.57,69.9,2,4000GB,,,,0
pele-vipplus3000,פלאפון,cellular,5G Max VIP Plus 3000GB,59.9,59.9,59.9,868.8,72.4,74.9,2,3000GB,,,,0
pele-global,פלאפון,cellular,5G Max VIP Global 3000GB,129,129,129,1548,129,,,3000GB,,,,0
pele-kosher,פלאפון,cellular,מסלול כשר,29,29,29,348,29,,,ללא גלישה,,,,0
pele-data10,פלאפון,cellular,Data SIM 10GB,19.9,19.9,19.9,238.8,19.9,,,10GB,,,,0
